id,tool_id,tool_name,category,description,total_quantity,available_quantity,unit_price,created_at
79,null,"Power supply extension box","General","Power supply extension box",10,10,"0.00","2026-07-02T04:46:52.418Z"
80,null,"Machine stroke tester","General","Machine stroke tester",10,10,"0.00","2026-07-02T04:46:52.424Z"
81,null,"Master Control Unit - MCU432431W","General","Master Control Unit - MCU432431W",10,10,"0.00","2026-07-02T04:46:52.429Z"
82,null,"Viewsonic tocuh monitor TD1630-3 with USB cable and Power adapter","General","Viewsonic tocuh monitor TD1630-3 with USB cable and Power adapter",10,10,"0.00","2026-07-02T04:46:52.436Z"
83,null,"Weid muller 24V coil relay with base","General","Weid muller 24V coil relay with base",10,10,"0.00","2026-07-02T04:46:52.443Z"
84,null,"Presenter MCU432000W with power adapter","General","Presenter MCU432000W with power adapter",10,10,"0.00","2026-07-02T04:46:52.448Z"
85,null,"Zebronics desktop CPU with power cord","General","Zebronics desktop CPU with power cord",10,10,"0.00","2026-07-02T04:46:52.453Z"
86,null,"Waveshare USB to RS485","General","Waveshare USB to RS485",10,10,"0.00","2026-07-02T04:46:52.460Z"
87,null,"Keyboard","General","Keyboard",10,10,"0.00","2026-07-02T04:46:52.465Z"
88,null,"Mouse","General","Mouse",10,10,"0.00","2026-07-02T04:46:52.471Z"
89,null,"Screw driver set","General","Screw driver set",10,10,"0.00","2026-07-02T04:46:52.477Z"
90,null,"Presentor kit with HDMI Cable","General","Presentor kit with HDMI Cable",10,10,"0.00","2026-07-02T04:46:52.486Z"
91,null,"POE Adapter","General","POE Adapter",10,10,"0.00","2026-07-02T04:46:52.492Z"
92,null,"POE Switch with adapter","General","POE Switch with adapter",10,10,"0.00","2026-07-02T04:46:52.497Z"
93,null,"ETHERNET FAST SWITCH","General","ETHERNET FAST SWITCH",10,10,"0.00","2026-07-02T04:46:52.503Z"
94,null,"Master Control Unit MCU432440W","General","Master Control Unit MCU432440W",10,10,"0.00","2026-07-02T04:46:52.509Z"
95,null,"Fast Ehernet Switch","General","Fast Ehernet Switch",10,10,"0.00","2026-07-02T04:46:52.514Z"
96,null,"Ethernet extender","General","Ethernet extender",10,10,"0.00","2026-07-02T04:46:52.522Z"
97,null,"Power adapter","General","Power adapter",10,10,"0.00","2026-07-02T04:46:52.530Z"
98,null,"24VDC Power suply","General","24VDC Power suply",10,10,"0.00","2026-07-02T04:46:52.536Z"
99,null,"WIFI dongle with connectors","General","WIFI dongle with connectors",10,10,"0.00","2026-07-02T04:46:52.542Z"
100,null,"Tester","General","Tester",10,10,"0.00","2026-07-02T04:46:52.551Z"
101,null,"Extention cable","General","Extention cable",10,10,"0.00","2026-07-02T04:46:52.561Z"
102,null,"Zebra Barcode Scanner LS1203 wit cable","General","Zebra Barcode Scanner LS1203 wit cable",10,10,"0.00","2026-07-02T04:46:52.568Z"
103,null,"Roller Limit switch","General","Roller Limit switch",10,10,"0.00","2026-07-02T04:46:52.574Z"
104,null,"Industrial SMPS 24V DC 2.5A with cables","General","Industrial SMPS 24V DC 2.5A with cables",10,10,"0.00","2026-07-02T04:46:52.580Z"
105,null,"Pluggable green terminal blocks","General","Pluggable green terminal blocks",10,10,"0.00","2026-07-02T04:46:52.585Z"
106,null,"HDMI Cable","General","HDMI Cable",10,10,"0.00","2026-07-02T04:46:52.591Z"
107,null,"Ethernet cable with extender","General","Ethernet cable with extender",10,10,"0.00","2026-07-02T04:46:52.596Z"
108,null,"RS485-USB Converter with cable","General","RS485-USB Converter with cable",10,10,"0.00","2026-07-02T04:46:52.602Z"
109,null,"Laptop","General","Laptop",10,10,"0.00","2026-07-02T04:46:52.608Z"
110,null,"D link","General","D link",10,10,"0.00","2026-07-02T04:46:52.613Z"
111,null,"Raspberry pi","General","Raspberry pi",10,10,"0.00","2026-07-02T04:46:52.618Z"
112,null,"W","General","W",10,10,"0.00","2026-07-02T04:46:52.624Z"
113,null,"Relay and wires","General","Relay and wires",10,10,"0.00","2026-07-02T04:46:52.633Z"
114,null,"RFID reader","General","RFID reader",10,10,"0.00","2026-07-02T04:46:52.639Z"
115,null,"Satec Energy meter","General","Satec Energy meter",10,10,"0.00","2026-07-02T04:46:52.645Z"
116,null,"Presentor with power adapter","General","Presentor with power adapter",10,10,"0.00","2026-07-02T04:46:52.651Z"
117,null,"Wifi dongle","General","Wifi dongle",10,10,"0.00","2026-07-02T04:46:52.657Z"
118,null,"Buttons/level switch","General","Buttons/level switch",10,10,"0.00","2026-07-02T04:46:52.663Z"
119,null,"Expandable modular 4-AI","General","Expandable modular 4-AI",10,10,"0.00","2026-07-02T04:46:52.669Z"
120,null,"Improvar and Power adapter","General","Improvar and Power adapter",10,10,"0.00","2026-07-02T04:46:52.674Z"
121,null,"camera stand","General","camera stand",10,10,"0.00","2026-07-02T04:46:52.680Z"
